         1440 function calls (1433 primitive calls) in 0.008 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libmpf.py:636(mpf_gt)
        2    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\ctx_mp_python.py:832(fsum)
       98    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\ctx_mp_python.py:201(__rdiv__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\json\decoder.py:332(decode)
        2    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\ctx_mp_python.py:184(__ne__)
       76    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libhyper.py:299(<genexpr>)
       38    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_right}
       61    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFBD4CE0FD0}
        2    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\ctx_mp.py:784(fneg)
       10    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libmpf.py:574(mpf_cmp)
       10    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libmpf.py:653(mpf_pos)
      7/1    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libelefun.py:211(bs_chudnovsky)
        6    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\ctx_mp_python.py:157(__pos__)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:570(abspath)
       24    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libmpf.py:330(from_int)
      118    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\rational.py:31(__new__)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\ctx_mp_python.py:179(__lt__)
        2    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libmpf.py:987(mpf_rdiv_int)
        8    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\ctx_mp_python.py:1091(mag)
        2    0.000    0.000    0.000    0.000 <string>:2(__add__)
        6    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\functions\hypergeometric.py:203(<listcomp>)
        8    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\ctx_base.py:340(_default_hyper_maxprec)
        2    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libmpf.py:802(mpf_sum)
        4    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\functions\functions.py:274(re)
        2    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libintmath.py:279(sqrtrem_python)
        8    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\ctx_mp_python.py:100(mpf_convert_rhs)
        4    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\ctx_mp_python.py:163(__neg__)
        2    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libmpf.py:950(mpf_div)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:538(normpath)
       46    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\functions\hypergeometric.py:142(<listcomp>)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       32    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\ctx_mp_python.py:620(<lambda>)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libintmath.py:205(isqrt_small_python)
        4    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\rational.py:7(create_reduced)
        6    0.000    0.000    0.000    0.000 C:\Users\micra\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\mpmath\libmp\libmpf.py:663(mpf_neg)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.pow}
